year,broodline,district,subdist,strmnmb,Sum_P_AUC,Sum_C_AUC,pink_strm_life,chum_strm_life
1966,Even,221,30,46,5225,630,21.5,12.6
1966,Even,221,30,48,124100,103345,21.5,12.6
1966,Even,221,30,51,225400,44704,21.5,12.6
1966,Even,221,30,52,84525,4950,21.5,12.6
1966,Even,221,30,56,13800,0,21.5,12.6
1966,Even,221,40,76,104725,0,21.5,12.6
1966,Even,221,40,80,20680,0,21.5,12.6
1966,Even,221,40,89,91075,4650,21.5,12.6
1966,Even,221,40,99,279580,50220,14.2,12.6
1966,Even,221,50,115,739500,20250,14.7,12.6
1966,Even,221,50,116,88750,145900,14.7,12.6
1966,Even,221,50,117,355350,31630,21.5,12.6
1966,Even,221,50,123,15925,630,21.5,12.6
1966,Even,221,50,129,29425,13740,21.5,12.6
1966,Even,221,50,153,132850,15560,21.5,12.6
1966,Even,222,10,214,32250,65990,21.5,12.6
1966,Even,222,10,216,117050,65700,21.5,12.6
1966,Even,222,20,224,22137.5,0,21.5,12.6
1966,Even,222,20,229,75850,0,21.5,12.6
1966,Even,222,20,234,984775,376560,21.5,12.6
1966,Even,222,20,257,49875,16365,21.5,12.6
1966,Even,222,20,258,1540725,9450,21.5,12.6
1966,Even,222,20,264,286400,10315,21.5,12.6
1966,Even,222,30,279,51240,0,9.6,12.6
1966,Even,222,30,282,44625,21040,21.5,12.6
1966,Even,222,30,289,12955,0,14.7,12.6
1966,Even,223,30,322,16150,18510,21.5,12.6
1966,Even,223,10,421,430725,32850,21.5,12.6
1966,Even,223,10,425,135100,34765,21.5,12.6
1966,Even,223,10,430,157870,22500,13.7,12.6
1966,Even,223,10,432,802150,20870,21.5,12.6
1966,Even,224,10,450,6795,9620,13.7,12.6
1966,Even,224,10,451,8965,2025,13.7,12.6
1966,Even,224,10,454,117150,26650,21.5,12.6
1966,Even,224,10,455,43355,2885,13.7,12.6
1966,Even,224,30,476,68600,2200,21.5,12.6
1966,Even,224,30,479,3950,830,9,12.6
1966,Even,224,40,480,35550,1660,9,12.6
1966,Even,226,20,603,60770,1230,14.2,12.6
1966,Even,226,20,604,30145,2145,13.7,12.6
1966,Even,226,20,608,391275,0,21.5,12.6
1966,Even,226,20,621,51240,0,14.7,12.6
1966,Even,226,20,630,18500,3230,21.5,12.6
1966,Even,226,20,632,15700,315,11.9,12.6
1966,Even,226,20,633,72970,1890,14.7,12.6
1966,Even,226,20,636,36150,0,9,12.6
1966,Even,226,40,666,78835,0,13.7,12.6
1966,Even,226,40,673,39200,0,9,12.6
1966,Even,227,10,739,16650,5700,21.5,12.6
1966,Even,227,10,740,79525,54950,21.5,12.6
1966,Even,227,10,741,57775,223936,21.5,12.6
1966,Even,227,20,744,19300,3290,21.5,12.6
1966,Even,227,20,747,42475,5165.3,21.5,12.6
1966,Even,227,20,748,42150,1260,21.5,12.6
1966,Even,227,20,749,46300,1260,21.5,12.6
1966,Even,227,20,752,26450,630,13.7,12.6
1966,Even,227,20,758,1420,0,14.2,12.6
1966,Even,227,20,759,8085,0,14.7,12.6
1966,Even,228,60,806,3437.5,778,21.5,12.6
